_vname_,_label_,_x_,_yhat_,_ids_
week_number,model_2b_rf_explainer,16.939999999999998,0.617223213534251,0
week_number,model_2b_rf_explainer,17.35,0.6166765820910934,0
week_number,model_2b_rf_explainer,17.759999999999998,0.6035682053296515,0
week_number,model_2b_rf_explainer,18.17,0.6025941923936264,0
week_number,model_2b_rf_explainer,18.58,0.5926280784686764,0
week_number,model_2b_rf_explainer,18.99,0.5926280784686764,0
week_number,model_2b_rf_explainer,19.4,0.5919893313261807,0
week_number,model_2b_rf_explainer,19.81,0.5887259329954275,0
week_number,model_2b_rf_explainer,20.22,0.5879985358363172,0
week_number,model_2b_rf_explainer,20.63,0.5845413510421551,0
week_number,model_2b_rf_explainer,21.04,0.5840892560232653,0
week_number,model_2b_rf_explainer,21.45,0.5840892560232653,0
week_number,model_2b_rf_explainer,21.86,0.578148968459456,0
week_number,model_2b_rf_explainer,22.27,0.5775093298942994,0
week_number,model_2b_rf_explainer,22.68,0.5758653478711809,0
week_number,model_2b_rf_explainer,23.09,0.5758475031816819,0
week_number,model_2b_rf_explainer,23.5,0.5758475031816819,0
week_number,model_2b_rf_explainer,23.91,0.5771869570218523,0
week_number,model_2b_rf_explainer,24.32,0.5781893283609802,0
week_number,model_2b_rf_explainer,24.73,0.6217318681048747,0
week_number,model_2b_rf_explainer,25.139999999999997,0.6240994431609849,0
week_number,model_2b_rf_explainer,25.549999999999997,0.6305668061146759,0
week_number,model_2b_rf_explainer,25.959999999999997,0.6305668061146759,0
week_number,model_2b_rf_explainer,26.369999999999997,0.6317461259267924,0
week_number,model_2b_rf_explainer,26.779999999999998,0.6644985902862915,0
week_number,model_2b_rf_explainer,27.189999999999998,0.6658976259322926,0
week_number,model_2b_rf_explainer,27.599999999999998,0.679921782927806,0
week_number,model_2b_rf_explainer,28.009999999999998,0.6803471551418232,0
week_number,model_2b_rf_explainer,28.419999999999998,0.6803471551418232,0
week_number,model_2b_rf_explainer,28.83,0.6826647212205462,0
week_number,model_2b_rf_explainer,29.24,0.6824808858352344,0
week_number,model_2b_rf_explainer,29.65,0.6813804058888899,0
week_number,model_2b_rf_explainer,30.06,0.6814103255653305,0
week_number,model_2b_rf_explainer,30.47,0.6814103255653305,0
week_number,model_2b_rf_explainer,30.88,0.6805940263471576,0
week_number,model_2b_rf_explainer,31.29,0.6800876071026295,0
week_number,model_2b_rf_explainer,31.7,0.6777271923964039,0
week_number,model_2b_rf_explainer,32.11,0.677378996324386,0
week_number,model_2b_rf_explainer,32.519999999999996,0.6751034823334798,0
week_number,model_2b_rf_explainer,32.93,0.6751034823334798,0
week_number,model_2b_rf_explainer,33.34,0.6749822823620536,0
week_number,model_2b_rf_explainer,33.75,0.6717988839357243,0
week_number,model_2b_rf_explainer,34.16,0.6715939527631316,0
week_number,model_2b_rf_explainer,34.56999999999999,0.6667777627423035,0
week_number,model_2b_rf_explainer,34.98,0.6667777627423035,0
week_number,model_2b_rf_explainer,35.39,0.6662548824599841,0
week_number,model_2b_rf_explainer,35.8,0.6517764832372996,0
week_number,model_2b_rf_explainer,36.21,0.6510788262689284,0
week_number,model_2b_rf_explainer,36.62,0.645294028695057,0
week_number,model_2b_rf_explainer,37.03,0.6451325122843131,0
week_number,model_2b_rf_explainer,37.44,0.6451325122843131,0
week_number,model_2b_rf_explainer,37.85,0.6437502929919049,0
week_number,model_2b_rf_explainer,38.26,0.6437318186222534,0
week_number,model_2b_rf_explainer,38.669999999999995,0.6457511773287695,0
week_number,model_2b_rf_explainer,39.08,0.6469178721372838,0
week_number,model_2b_rf_explainer,39.489999999999995,0.6469178721372838,0
week_number,model_2b_rf_explainer,39.9,0.678686074698334,0
week_number,model_2b_rf_explainer,40.309999999999995,0.6799840393053287,0
week_number,model_2b_rf_explainer,40.72,0.6875357716745552,0
week_number,model_2b_rf_explainer,41.129999999999995,0.6881382566622295,0
week_number,model_2b_rf_explainer,41.54,0.6895195547456289,0
week_number,model_2b_rf_explainer,41.949999999999996,0.6895195547456289,0
week_number,model_2b_rf_explainer,42.36,0.6891918990973255,0
week_number,model_2b_rf_explainer,42.769999999999996,0.6878879996535269,0
week_number,model_2b_rf_explainer,43.18,0.6867650939180474,0
week_number,model_2b_rf_explainer,43.589999999999996,0.6816298562192519,0
week_number,model_2b_rf_explainer,44.0,0.6816298562192519,0
r1_1,model_2b_rf_explainer,1.0,0.5564559558833795,0
r1_1,model_2b_rf_explainer,1.06,0.5564559558833795,0
r1_1,model_2b_rf_explainer,1.12,0.5564559558833795,0
r1_1,model_2b_rf_explainer,1.18,0.5564559558833795,0
r1_1,model_2b_rf_explainer,1.24,0.5564559558833795,0
