run_id,seed,i2_health,age,household_size,cantril_ladder,r1_1,r1_2,week_number,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,gender_Male,i9_health_Not sure,i9_health_Yes,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,i11_health_Not sure,i11_health_Somewhat unwilling,i11_health_Somewhat willing,i11_health_Very unwilling,i11_health_Very willing,WCRex1_Somewhat badly,WCRex1_Somewhat well,WCRex1_Very badly,WCRex1_Very well,WCRex2_A lot of confidence,WCRex2_Don't know,WCRex2_No confidence at all,WCRex2_Not very much confidence,PHQ4_1_N/A,PHQ4_1_Nearly every day,PHQ4_1_Not at all,PHQ4_1_Prefer not to say,PHQ4_1_Several days,PHQ4_2_N/A,PHQ4_2_Nearly every day,PHQ4_2_Not at all,PHQ4_2_Prefer not to say,PHQ4_2_Several days,PHQ4_3_N/A,PHQ4_3_Nearly every day,PHQ4_3_Not at all,PHQ4_3_Prefer not to say,PHQ4_3_Several days,PHQ4_4_N/A,PHQ4_4_Nearly every day,PHQ4_4_Not at all,PHQ4_4_Prefer not to say,PHQ4_4_Several days,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
11,20240637,0.04268359,0.01574174,0.014512333,0.015086309,0.038701426,0.016064242,0.018285856,0.03412114,0.014189425,0.016154727,0.013749543,0.01956956,0.02583307,0.02306127,0.015004927,0.02266672,0.024784697,0.015129503,0.014514522,0.013739452,0.014685636,0.019927382,0.019887142,0.015144598,0.019130593,0.026291491,0.014930774,0.013349102,0.015809078,0.014074729,0.015328903,0.01837079,0.015584678,0.014091121,0.012566676,0.015877532,0.013748909,0.011754643,0.012523888,0.0174915,0.016123794,0.014460722,0.01563895,0.014458823,0.014491555,0.016437424,0.01407682,0.012277549,0.013048989,0.02443557,0.01581557,0.015540279,0.017545125,0.014359047,0.01413292,0.01779796,0.015195681
12,20240638,0.04117971,0.015105282,0.013727489,0.014962922,0.038269494,0.015853327,0.017854286,0.030817242,0.014414646,0.014920404,0.014179815,0.019177381,0.024032524,0.021196939,0.014703309,0.021869468,0.02487016,0.013789894,0.014256772,0.016020374,0.015193123,0.01754488,0.02121484,0.015675712,0.020522019,0.023553437,0.015793853,0.013289868,0.014542616,0.013500338,0.015438398,0.017240744,0.013339814,0.015310236,0.014180395,0.0170148,0.0143395355,0.018194837,0.012624601,0.014297956,0.015730277,0.013231533,0.01336247,0.012986482,0.0249047,0.016300583,0.0154876225,0.011344753,0.013045816,0.034984875,0.016057532,0.014061612,0.016078014,0.01275363,0.015307482,0.016996644,0.013352446
13,20240639,0.043559477,0.015440374,0.014674078,0.0152377,0.03796548,0.016315646,0.018513752,0.032194275,0.014720926,0.01558505,0.01367943,0.01737021,0.0251395,0.022806926,0.015838638,0.023326337,0.024446992,0.01406164,0.015728178,0.013333955,0.014893484,0.019336233,0.021800622,0.016377592,0.02082922,0.025695102,0.014586615,0.013477723,0.014163553,0.014131246,0.016090767,0.016263066,0.012696766,0.015811302,0.010777461,0.018422632,0.014311071,0.011121988,0.014836705,0.020087302,0.019743372,0.013933238,0.01867811,0.013974439,0.019657996,0.017360333,0.0142242825,0.014984134,0.014172614,0.008358659,0.01728502,0.015930176,0.016932402,0.012350856,0.014884688,0.015705755,0.01617497
14,20240640,0.041733194,0.01543023,0.014594334,0.015840763,0.041271243,0.016455837,0.018633628,0.03683702,0.015092114,0.01806903,0.014881897,0.017962007,0.02881417,0.023261763,0.014904894,0.024939626,0.02546873,0.015387364,0.015066849,0.013565144,0.014500578,0.02158954,0.024853408,0.014948432,0.021531483,0.02698934,0.014433045,0.013706452,0.01593507,0.013468071,0.015187112,0.015235375,0.013200689,0.01474453,0.014830456,0.016776018,0.01350593,0.013165278,0.013152838,0.019591073,0.015253734,0.015039728,0.01673891,0.013111316,0.01994716,0.015575003,0.01474776,0.013809605,0.013054574,0.0,0.014411378,0.015907284,0.014326401,0.014605994,0.015341157,0.013788275,0.014787127
15,20240641,0.042197682,0.014904949,0.014348532,0.015555302,0.03954128,0.015659662,0.018184679,0.032602265,0.01593709,0.015202284,0.0146808475,0.018265037,0.026247878,0.021671506,0.014978512,0.02491009,0.026105884,0.014049895,0.013991729,0.0138169825,0.0139578935,0.018512947,0.02257736,0.015261212,0.019742314,0.026379343,0.014431842,0.013566269,0.014686752,0.013111583,0.015180783,0.015524747,0.013338819,0.01398026,0.015364219,0.018016055,0.014193769,0.012692417,0.012823203,0.019534968,0.015684783,0.014805001,0.014578327,0.012885305,0.020977164,0.017696142,0.014749478,0.015611749,0.01448956,0.017692588,0.01759869,0.015726216,0.014141638,0.012515928,0.015676158,0.01355335,0.01588895
16,20240642,0.04210304,0.01498233,0.014753282,0.015068963,0.039557096,0.01610008,0.018323485,0.032180406,0.016196672,0.01637936,0.0138242105,0.017419038,0.023485914,0.022783758,0.015493534,0.024279583,0.02509586,0.01496681,0.01466637,0.015293136,0.013955097,0.01946196,0.021680478,0.016442735,0.018382473,0.024579208,0.015416805,0.014391512,0.015505329,0.014975509,0.01522216,0.016915604,0.014178673,0.014509829,0.014269944,0.018801944,0.013031348,0.01672328,0.013584386,0.017542697,0.016478717,0.0141570885,0.014939741,0.013576099,0.019042663,0.016740931,0.013395508,0.015588443,0.014747272,0.010790641,0.017471509,0.015873816,0.013900715,0.012805807,0.01630975,0.015721262,0.015936213
17,20240643,0.04236228,0.015080672,0.013871959,0.015909102,0.039586794,0.015945321,0.018105181,0.032957286,0.016330374,0.01640391,0.015255825,0.020870795,0.023761436,0.020324912,0.014838261,0.024258807,0.024799315,0.015237537,0.014248905,0.01508185,0.014923625,0.021997722,0.021964177,0.015787913,0.017801125,0.026652087,0.014381234,0.013334169,0.015401418,0.015288018,0.015382873,0.018293286,0.012183009,0.013860828,0.01453475,0.017987337,0.014197478,0.013229029,0.013907977,0.017402377,0.017237408,0.016059954,0.01571073,0.012700039,0.018357484,0.015447833,0.014734097,0.010653071,0.01318028,0.0143078575,0.016189769,0.016795767,0.015562822,0.013032827,0.014955638,0.01563184,0.015701694
18,20240644,0.044040628,0.015363244,0.013741451,0.014934059,0.040079556,0.016000593,0.017977519,0.03404388,0.013570492,0.01625506,0.015670473,0.01783113,0.024281347,0.020840406,0.014470588,0.023710856,0.026305621,0.014220908,0.014469918,0.016655248,0.014189753,0.018996716,0.020790512,0.016470207,0.019295646,0.025722034,0.013984337,0.013611213,0.014755269,0.014217806,0.015413834,0.018494233,0.011494704,0.01492298,0.013628729,0.019096676,0.014517264,0.012332754,0.01344345,0.018356642,0.014604543,0.014302723,0.015680311,0.013937359,0.023195235,0.014353297,0.014270207,0.014136168,0.013515372,0.019245325,0.016577924,0.016383085,0.011890427,0.013394219,0.015014547,0.016099464,0.0152019095
19,20240645,0.04347801,0.015291991,0.015504979,0.01583425,0.039191864,0.01626499,0.018918803,0.034622643,0.014597568,0.01594821,0.014447709,0.019663613,0.025382847,0.021727659,0.014494553,0.025827397,0.024205416,0.014874841,0.01539954,0.01642708,0.0151664065,0.020928893,0.02370916,0.015923515,0.019055335,0.02751385,0.016936712,0.015080425,0.015162076,0.014136586,0.01598809,0.017435595,0.011603495,0.015162745,0.013910199,0.018244397,0.014284867,0.0136461165,0.012515748,0.013353499,0.017677786,0.014494995,0.015630346,0.0127219325,0.017119287,0.015671311,0.016654296,0.013408298,0.01351076,0.0,0.016875979,0.016081722,0.015949432,0.015255419,0.014620895,0.017251238,0.015214678
20,20240646,0.041290816,0.015257363,0.014823867,0.015631266,0.041792076,0.015749432,0.018454164,0.03371651,0.015367292,0.014856065,0.014072763,0.018246215,0.02541682,0.02083129,0.015329405,0.022849372,0.02530947,0.015626065,0.014862158,0.014193518,0.014042989,0.017138526,0.020999542,0.01591192,0.019274063,0.027265307,0.014235068,0.012787293,0.014279826,0.013424663,0.015208701,0.01742572,0.013875133,0.0152419945,0.013724033,0.016945321,0.014606253,0.014991777,0.013626361,0.01703567,0.016056532,0.013984883,0.016118256,0.013348825,0.025304839,0.015419884,0.014689876,0.014587842,0.0144085,0.016270025,0.016001662,0.016015012,0.014939677,0.012465443,0.015412857,0.015354471,0.013905359
