run_id,seed,i2_health,age,household_size,cantril_ladder,r1_1,r1_2,protective_behaviour_nomask_scale,week_number,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,gender_Male,i9_health_Not sure,i9_health_Yes,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,i11_health_Not sure,i11_health_Somewhat unwilling,i11_health_Somewhat willing,i11_health_Very unwilling,i11_health_Very willing,WCRex1_Somewhat badly,WCRex1_Somewhat well,WCRex1_Very badly,WCRex1_Very well,WCRex2_A lot of confidence,WCRex2_Don't know,WCRex2_No confidence at all,WCRex2_Not very much confidence,PHQ4_1_N/A,PHQ4_1_Nearly every day,PHQ4_1_Not at all,PHQ4_1_Prefer not to say,PHQ4_1_Several days,PHQ4_2_N/A,PHQ4_2_Nearly every day,PHQ4_2_Not at all,PHQ4_2_Prefer not to say,PHQ4_2_Several days,PHQ4_3_N/A,PHQ4_3_Nearly every day,PHQ4_3_Not at all,PHQ4_3_Prefer not to say,PHQ4_3_Several days,PHQ4_4_N/A,PHQ4_4_Nearly every day,PHQ4_4_Not at all,PHQ4_4_Prefer not to say,PHQ4_4_Several days,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
12,20240638,0.014368726,0.019603616,0.011755616,0.01320449,0.021722909,0.018436076,0.1007131,0.021090813,0.1191733,0.012299432,0.014370262,0.0125597585,0.022075491,0.014375049,0.016817737,0.013603862,0.013899154,0.01901889,0.016182467,0.013961932,0.016541783,0.013113898,0.011512835,0.014564612,0.01306062,0.011434752,0.015847001,0.015489066,0.010440534,0.011126897,0.015263852,0.01617229,0.011071578,0.011686229,0.012442819,0.01059788,0.0090053445,0.011653233,0.016202288,0.0141394,0.017596392,0.010512441,0.013193235,0.010423576,0.012433768,0.019231789,0.013065637,0.011034767,0.011840028,0.014535585,0.0,0.011254169,0.015537725,0.016116126,0.0130912,0.013341549,0.012104782,0.014087568
13,20240639,0.014214874,0.020012612,0.012167187,0.014094697,0.023133118,0.01736739,0.0967566,0.020839492,0.13274397,0.01322832,0.013161211,0.014401239,0.023484439,0.015463293,0.015708465,0.01294796,0.012321638,0.021542003,0.016112464,0.014114693,0.014526394,0.014394356,0.012074667,0.011046967,0.010176293,0.009007673,0.017566608,0.012293638,0.010428529,0.01067707,0.014433107,0.016222196,0.013436292,0.01305555,0.013520464,0.009911057,0.009833999,0.01400607,0.008851492,0.014334911,0.014980411,0.008773432,0.0134905,0.008791759,0.013878887,0.016608784,0.014512285,0.011919728,0.011639617,0.014470493,0.0,0.01151248,0.016481752,0.015606787,0.01093355,0.012931667,0.014071823,0.015783122
14,20240640,0.013901323,0.019679124,0.012429874,0.013817178,0.023454333,0.01626423,0.103039645,0.019559741,0.1161538,0.009656615,0.012271876,0.013614217,0.02391705,0.015347934,0.014458236,0.013267363,0.012378147,0.018032325,0.016683007,0.0136897275,0.014444525,0.013498844,0.013061506,0.012269064,0.012602496,0.009430131,0.018518033,0.01256144,0.009879295,0.012093977,0.015663737,0.014526055,0.014663084,0.008643118,0.012102581,0.018268,0.009135416,0.011615926,0.0107201375,0.013405278,0.015139885,0.011735521,0.012462331,0.01110641,0.011116478,0.016107656,0.011092821,0.016209073,0.014354747,0.0154875545,0.0140234465,0.010016414,0.018019909,0.016306005,0.011376913,0.011426242,0.011517826,0.013782302
15,20240641,0.014644037,0.019977227,0.0124083925,0.014330013,0.023022998,0.018472536,0.10792714,0.019977074,0.12558334,0.010114915,0.014351999,0.01407967,0.022811305,0.012721286,0.01648694,0.013325735,0.016330395,0.016892515,0.015396542,0.01378285,0.015871456,0.013904261,0.012659009,0.0132969925,0.012080609,0.007489075,0.017805094,0.015454683,0.012116126,0.011517469,0.015349267,0.015142035,0.011752351,0.011465824,0.013681184,0.011351343,0.009097669,0.013299033,0.009961015,0.015414984,0.010090202,0.011980032,0.015042156,0.0101614995,0.012502793,0.0133185135,0.015106507,0.012342206,0.00918583,0.01313471,0.0,0.012031566,0.018551007,0.014689696,0.011472338,0.009901241,0.012908053,0.016235286
16,20240642,0.014024925,0.019038523,0.012591447,0.014574208,0.02100812,0.017654851,0.10427334,0.019627951,0.12189791,0.014931029,0.0136858765,0.013265478,0.022383735,0.017701676,0.01589905,0.012916859,0.012701954,0.017265424,0.014782587,0.0138710365,0.014046978,0.012877807,0.012898873,0.013200397,0.012288934,0.008094937,0.019468749,0.012259182,0.010774467,0.010457784,0.012990132,0.014639775,0.010716266,0.00840565,0.014306276,0.013123554,0.009054428,0.012109984,0.011018879,0.013759846,0.015960205,0.013344989,0.0142075075,0.0068219663,0.012738168,0.012683625,0.0136731025,0.012277543,0.016181687,0.014437729,0.014042928,0.010924904,0.016942298,0.013559019,0.012339752,0.011002017,0.013798333,0.014475263
17,20240643,0.013654108,0.02062374,0.013088257,0.013952274,0.022879362,0.016346918,0.10302491,0.0207029,0.12115537,0.011296323,0.011551009,0.014249085,0.022429518,0.012489814,0.017580042,0.014059997,0.0131348735,0.017266762,0.01562485,0.014477127,0.013568543,0.013016061,0.013529602,0.013098768,0.011553201,0.008300989,0.016793655,0.013346967,0.011514581,0.013270683,0.01469774,0.012138468,0.012294542,0.00992114,0.012832061,0.01385112,0.009762679,0.012230946,0.015042642,0.012802315,0.017464634,0.012209807,0.012434483,0.014048518,0.015719924,0.015033046,0.015561874,0.012336478,0.012888714,0.016466893,0.0,0.012732005,0.01570036,0.01464629,0.009635795,0.011393506,0.0131649915,0.01540878
18,20240644,0.01398104,0.019448107,0.012293224,0.013312465,0.022285694,0.018500708,0.10093049,0.019986084,0.12677695,0.010781638,0.015412712,0.014362838,0.022653291,0.014463118,0.016641846,0.0120777,0.014021867,0.01867517,0.015214307,0.014795119,0.014558149,0.012444955,0.011669428,0.012826316,0.012227193,0.0058893925,0.02007447,0.013462546,0.009672865,0.010589964,0.016157525,0.01438562,0.012593173,0.014116367,0.013760838,0.01209053,0.009854493,0.009978263,0.013137162,0.013681243,0.010794671,0.011792345,0.013277898,0.013002994,0.012655754,0.014433658,0.012998959,0.012497663,0.011102706,0.015042686,0.010835748,0.011324027,0.015197167,0.0146109015,0.010934371,0.00956288,0.016846243,0.013304459
19,20240645,0.014059624,0.019585185,0.011845789,0.013907423,0.02164795,0.017740037,0.105731316,0.019788714,0.12410851,0.012660352,0.01352861,0.013783649,0.024987862,0.01455294,0.014945164,0.013770973,0.011485794,0.01925337,0.016050894,0.01476143,0.014981768,0.012477709,0.012275669,0.012269828,0.012579946,0.009228019,0.019071773,0.014052323,0.0110380035,0.0105701815,0.014313429,0.014875552,0.012168056,0.010182907,0.015060593,0.010464316,0.008344447,0.012572809,0.010629623,0.012269175,0.018338561,0.01122165,0.011869842,0.011479998,0.0137783475,0.013958657,0.01191165,0.014257117,0.010695821,0.014282683,0.010242923,0.011492509,0.016909795,0.014961846,0.012007931,0.009484628,0.012027915,0.01345647
20,20240646,0.013427563,0.019979283,0.012408343,0.013989544,0.022397738,0.018235467,0.10714967,0.02077402,0.12435885,0.014392462,0.01262748,0.013100483,0.022820937,0.013763427,0.0146313915,0.013510929,0.012346215,0.016005201,0.016072812,0.013240013,0.015223994,0.012774278,0.013352947,0.014180285,0.0127504105,0.009296828,0.019150438,0.014171848,0.011556655,0.0121424245,0.016042847,0.015705694,0.012236855,0.01156952,0.013103642,0.01269753,0.009028851,0.013632809,0.009542652,0.013226572,0.012942706,0.010498388,0.012964582,0.007935482,0.0127819115,0.013107887,0.011793314,0.012943113,0.012977553,0.014748698,0.0,0.014759808,0.017213471,0.017986711,0.011028382,0.013183007,0.012534873,0.013981201
21,20240647,0.013960093,0.019610433,0.011897672,0.013638153,0.02308879,0.017256869,0.11088864,0.020821223,0.13207251,0.011782505,0.013049703,0.014274991,0.022004813,0.0174233,0.014640009,0.013612301,0.011779293,0.018078353,0.01628019,0.013331176,0.015514511,0.012557069,0.012726815,0.013488189,0.011115319,0.009484572,0.017113268,0.012422078,0.00971218,0.012175866,0.012989378,0.015717661,0.0127108,0.009067478,0.013407768,0.009423054,0.009284819,0.01295643,0.011173858,0.0139641715,0.013280814,0.011082123,0.012734359,0.010404918,0.012769004,0.01319352,0.014083146,0.013247663,0.00974443,0.015046724,0.0,0.014060071,0.019418439,0.014797933,0.012507828,0.010379458,0.010278862,0.016474316
22,20240648,0.014587642,0.019620739,0.011435891,0.0137568945,0.021662815,0.01655131,0.10502197,0.020502338,0.11207639,0.010889087,0.013130951,0.015127789,0.02317059,0.013387805,0.016459769,0.0132492725,0.012393765,0.015141164,0.01550515,0.012997589,0.01542659,0.012698508,0.010932392,0.013070746,0.009865892,0.009952705,0.01852145,0.016466344,0.011118688,0.010649228,0.013146664,0.017172692,0.012725497,0.009862634,0.011630877,0.012091438,0.009721095,0.012018506,0.010947999,0.015101499,0.010091576,0.0127305845,0.012835795,0.011023299,0.010501876,0.025704367,0.011051228,0.012817906,0.012327131,0.015305909,0.022875864,0.010926497,0.016249342,0.016460022,0.011397921,0.008929111,0.014076771,0.014904494
23,20240649,0.013822502,0.019812299,0.01172845,0.013989673,0.022118283,0.016831918,0.1023898,0.020204209,0.119990535,0.013489113,0.014217601,0.0135727385,0.023137707,0.015849449,0.015198527,0.012881805,0.013055541,0.018695392,0.01639023,0.013964075,0.015733192,0.013335782,0.012010953,0.01202249,0.012591771,0.008996597,0.016738793,0.014849703,0.012180966,0.011741713,0.014715755,0.014447267,0.01146829,0.009603369,0.014533167,0.011292797,0.010599273,0.011652678,0.010907227,0.014446247,0.011946607,0.012991634,0.012770696,0.011337529,0.0137944305,0.01694766,0.012975163,0.013448916,0.009042866,0.017755874,0.0,0.012714695,0.01641565,0.015763795,0.011369652,0.011809966,0.017122984,0.016584061
24,20240650,0.013985443,0.020202072,0.012294343,0.013845981,0.022670306,0.016864913,0.10592196,0.020889763,0.12130413,0.011138337,0.015588334,0.013989064,0.023991007,0.01658571,0.016675282,0.013529489,0.012649581,0.017321661,0.016578175,0.013918987,0.013564137,0.013497337,0.012997708,0.013606202,0.0107332785,0.00926311,0.018868515,0.016772648,0.010370454,0.011033707,0.014154311,0.016381895,0.013057092,0.010792562,0.014705403,0.010860472,0.009709932,0.014080956,0.011757378,0.014450088,0.009229056,0.011238457,0.013548849,0.006687402,0.01298082,0.02242211,0.012478346,0.012709696,0.009111647,0.01541743,0.0,0.0136162285,0.016329857,0.016655326,0.01206781,0.010925114,0.011426282,0.012553766
25,20240651,0.013361105,0.018152732,0.011711056,0.013739155,0.021184297,0.016625928,0.099104345,0.019628076,0.12089217,0.013162526,0.015146492,0.012142606,0.021525314,0.010973037,0.01397289,0.01364566,0.011353718,0.017887784,0.015461549,0.01349781,0.014012306,0.012509808,0.010365385,0.015011939,0.0125349015,0.008647505,0.017294321,0.013813356,0.009518085,0.010820029,0.012508469,0.014427439,0.011906363,0.011377297,0.012878788,0.019303765,0.008879539,0.012077617,0.01190302,0.01253257,0.013470873,0.009824026,0.013457277,0.010541545,0.013329727,0.020334572,0.012844906,0.012292016,0.0124481935,0.017652761,0.01597946,0.014531616,0.017632162,0.018447759,0.011197917,0.012483166,0.012984932,0.015056385
26,20240652,0.014127576,0.019951439,0.0126212295,0.014083915,0.021271553,0.017928565,0.10540365,0.020052414,0.13341597,0.013747747,0.01685676,0.014213472,0.020732803,0.01428562,0.016368562,0.014444078,0.013940771,0.018218085,0.015702434,0.014150007,0.015377245,0.01160624,0.009925929,0.011967212,0.01181639,0.007607868,0.019373572,0.013021537,0.011129425,0.011224734,0.013777677,0.016485468,0.011572567,0.011975869,0.015850259,0.012546293,0.00881699,0.011268752,0.008955007,0.012595279,0.015364451,0.011397972,0.011944794,0.0098001445,0.0134885665,0.016868342,0.0126288,0.013259865,0.0044674505,0.01352556,0.0,0.013288974,0.017442433,0.01586534,0.012980948,0.0120221805,0.01204306,0.015200145
27,20240653,0.013625289,0.018970698,0.011927671,0.012908276,0.021242507,0.017057946,0.10276784,0.01967711,0.13130225,0.014959144,0.013953831,0.013166134,0.02090355,0.014222178,0.016765641,0.013462228,0.011627869,0.017994901,0.014184539,0.013578185,0.0134873865,0.013253105,0.012563484,0.013560893,0.012439363,0.010558912,0.016964333,0.0135926325,0.011133897,0.011841675,0.015191236,0.014769937,0.013100981,0.008111957,0.013256941,0.010747142,0.008569762,0.01318893,0.009967335,0.013479364,0.026327657,0.011677233,0.013226723,0.008948596,0.012116485,0.01727698,0.008732663,0.014195856,0.010525819,0.014575955,0.008165538,0.01270164,0.014148623,0.013837364,0.012959174,0.012319183,0.009530199,0.014657268
28,20240654,0.013627649,0.01970875,0.012180862,0.013703549,0.022378303,0.017646464,0.10643961,0.020883052,0.12628593,0.012575972,0.014000942,0.013819805,0.02149809,0.015745288,0.0152589865,0.013863256,0.012830041,0.018323453,0.01706006,0.015133314,0.012888694,0.013586543,0.011080331,0.013169557,0.010741165,0.011512496,0.014926829,0.012331309,0.010590038,0.01160118,0.014351319,0.015237691,0.011302196,0.009986182,0.014045136,0.011511329,0.009820975,0.011726956,0.013318547,0.014791382,0.017237557,0.012908486,0.013297066,0.01296219,0.012321961,0.012778793,0.015200278,0.011519368,0.010732382,0.01332693,0.0,0.014489075,0.016335394,0.013437386,0.012142027,0.012106075,0.013223556,0.014498121
29,20240655,0.0146489935,0.019852733,0.011459044,0.014097654,0.022539493,0.018871037,0.10532474,0.020026218,0.12223019,0.012446273,0.0121700745,0.013672299,0.0217734,0.01449014,0.016068598,0.013462973,0.013084419,0.020172551,0.016515967,0.013701718,0.014811634,0.012761499,0.011890362,0.012362255,0.013089913,0.010272137,0.017190674,0.01646876,0.01045883,0.011791445,0.014502061,0.015419606,0.010688501,0.009204196,0.014139406,0.013367784,0.0111522395,0.012061801,0.010347635,0.01417865,0.011397013,0.01325009,0.01435067,0.009918563,0.012025329,0.020720338,0.015580036,0.013391242,0.007894013,0.015921628,0.0,0.012656862,0.017680574,0.013017101,0.0107395835,0.010330284,0.012633774,0.01572496
30,20240656,0.013309469,0.020087201,0.011894048,0.013673016,0.022593308,0.01654917,0.106328614,0.020590667,0.12234402,0.012255528,0.013243565,0.014192347,0.023911675,0.013429575,0.016703056,0.013130163,0.011729519,0.016940583,0.01552884,0.0141272675,0.016289376,0.013628239,0.012010771,0.015731597,0.011665091,0.0073852707,0.016433846,0.014262216,0.010981648,0.010811508,0.013387482,0.016199129,0.011685996,0.010838668,0.014591749,0.017204944,0.009858381,0.012106047,0.010841472,0.0129498765,0.014550809,0.008888823,0.013776913,0.00888731,0.011127366,0.01647556,0.016016642,0.011802597,0.011542219,0.013192771,0.007230111,0.011447637,0.017619664,0.017068384,0.009896104,0.011483758,0.013340165,0.014228231
31,20240657,0.013720162,0.019542452,0.011550213,0.013478199,0.021757904,0.017112244,0.10684603,0.02037251,0.13788788,0.0135730645,0.01495151,0.0144262025,0.021604717,0.014363102,0.015182857,0.013603195,0.013055539,0.018376967,0.0150812855,0.0124137,0.015124782,0.012147207,0.0082239825,0.012346271,0.01367763,0.009689527,0.01597794,0.015006582,0.010505124,0.011936345,0.015313031,0.01463046,0.012492512,0.0077633774,0.012505526,0.012096982,0.008444639,0.013029585,0.011234662,0.015075327,0.014688139,0.010825097,0.012030042,0.010256466,0.013746529,0.017968204,0.012737572,0.009074119,0.009269451,0.014533574,0.0,0.012408794,0.020068439,0.017873554,0.010596463,0.011797017,0.01216844,0.013836915
32,20240658,0.014218472,0.019220563,0.012889638,0.013373532,0.022046529,0.017983526,0.111286886,0.01980397,0.121081285,0.011235112,0.013842124,0.013217265,0.023514051,0.015627908,0.015387459,0.013346319,0.012817091,0.017183691,0.016340483,0.012982588,0.01436053,0.011944789,0.011716578,0.012540519,0.012348982,0.010107839,0.018808307,0.013298021,0.010465714,0.010556288,0.014228126,0.016032916,0.011086155,0.0097238645,0.013765284,0.013901119,0.008615328,0.013522264,0.0139321145,0.016279094,0.015650429,0.011479355,0.011856626,0.013468076,0.012435301,0.01227953,0.012655017,0.012068288,0.009703397,0.01682077,0.0,0.011167748,0.017080907,0.016240023,0.011295207,0.0122690145,0.014885336,0.0140126515
33,20240659,0.013470639,0.019377913,0.012270544,0.013756346,0.022198595,0.01939784,0.10710548,0.020164529,0.120267704,0.010537422,0.014296739,0.014780103,0.023791043,0.017052868,0.015251035,0.012882322,0.013442045,0.0179092,0.0154585345,0.013224483,0.01505827,0.011639602,0.012082808,0.014716897,0.01324817,0.01138253,0.017916147,0.015579855,0.010810606,0.010874043,0.016263945,0.016518932,0.012039384,0.009933749,0.0145949125,0.012278774,0.009328492,0.012506101,0.00967219,0.01592422,0.007425707,0.0126862405,0.013284577,0.008937874,0.013691637,0.014076735,0.014042574,0.011152477,0.012639963,0.01469568,0.0,0.012735877,0.016761934,0.014777345,0.014408189,0.012401222,0.01271814,0.014558775
34,20240660,0.0140564265,0.019474948,0.011869575,0.013795717,0.022448158,0.018120443,0.106111296,0.02048986,0.1284258,0.011598242,0.013804287,0.014340242,0.023578908,0.016895639,0.016432468,0.012495644,0.011256232,0.017740015,0.0155267585,0.013017091,0.01514234,0.012180454,0.012218785,0.013164009,0.011798781,0.0095301205,0.017094249,0.013965843,0.011466562,0.010076439,0.013214352,0.016375355,0.011140092,0.011710279,0.01250033,0.014243419,0.009295888,0.013738432,0.013382537,0.013157869,0.018252933,0.010494629,0.013489163,0.008062839,0.011096408,0.01996284,0.014586662,0.0116221905,0.00975408,0.014037104,0.0,0.011045355,0.01479321,0.014967074,0.012520715,0.012582272,0.01232759,0.013531072
35,20240661,0.014317379,0.021449046,0.013091295,0.013334296,0.023160612,0.016897893,0.09792866,0.020727003,0.12655596,0.012079918,0.01446717,0.014353886,0.022119569,0.013309636,0.014361498,0.013901653,0.011884904,0.018468717,0.014293155,0.013631168,0.015466456,0.01260182,0.0122587355,0.013322702,0.013312599,0.009678525,0.014574065,0.012707543,0.011984851,0.010814948,0.014205022,0.016491156,0.013159286,0.012250047,0.01337031,0.011412954,0.009111684,0.012751039,0.011821981,0.013798126,0.010415659,0.013178603,0.012121357,0.011695517,0.011866239,0.024133729,0.012646571,0.010757105,0.017304076,0.014036408,0.0,0.012600504,0.014688078,0.014165529,0.012278091,0.010646206,0.017581154,0.014457889
